redirect_type,redirect_target,old_url
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/docker/v3-3-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/docker/v3-4-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/docker/v3-5-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/docker/v3-6-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/docker/v3-7-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/docker/v3-8-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/docker/v3-9-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/docker/v4-0-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/docker/v4-1-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/docker/v4-2-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/docker/v4-3-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/ubuntu/v3-3-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/ubuntu/v3-4-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/ubuntu/v3-5-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/ubuntu/v3-6-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/ubuntu/v3-7-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/ubuntu/v3-8-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/ubuntu/v3-9-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/ubuntu/v4-0-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/ubuntu/v4-1-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/ubuntu/v4-2-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/ubuntu/v4-3-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/windows/v3-3-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/windows/v3-4-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/windows/v3-5-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/windows/v3-6-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/windows/v3-7-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/windows/v3-8-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/windows/v3-9-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/windows/v4-0-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/windows/v4-1-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/windows/v4-2-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/edge/upgrade-instructions/windows/v4-3-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/centos/v3-3-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/centos/v3-4-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/centos/v3-5-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/centos/v3-6-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/centos/v3-7-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/centos/v3-8-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/centos/v3-9-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/centos/v4-0-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/centos/v4-1-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/centos/v4-2-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/centos/v4-3-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/docker/v3-3-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/docker/v3-4-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/docker/v3-5-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/docker/v3-6-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/docker/v3-7-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/docker/v3-8-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/docker/v3-9-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/docker/v4-0-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/docker/v4-1-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/docker/v4-2-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/docker/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/docker/v4-3-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/ubuntu/v3-3-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/ubuntu/v3-4-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/ubuntu/v3-5-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/ubuntu/v3-6-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/ubuntu/v3-7-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/ubuntu/v3-8-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/ubuntu/v3-9-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/ubuntu/v4-0-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/ubuntu/v4-1-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/ubuntu/v4-2-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/ubuntu/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/ubuntu/v4-3-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/windows/v3-3-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/windows/v3-4-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/windows/v3-5-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/windows/v3-6-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/windows/v3-7-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/windows/v3-8-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/windows/v3-9-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/windows/v4-0-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/windows/v4-1-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/windows/v4-2-x/
CONSOLIDATED,/docs/edge/installation/upgrade-instructions/windows/,https://thingsboard.io/docs/user-guide/install/pe/edge/upgrade-instructions/windows/v4-3-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v3-0-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v3-1-x/
CONSOLIDATED,/docs/installation/upgrade-instructions/centos/,https://thingsboard.io/docs/user-guide/install/upgrade-instructions/centos/v3-2-x/
